Date,SPY,AMZN,AAPL
12/6/2021,451.95108,171.3685,164.366074
12/7/2021,461.299591,176.164505,170.19223
12/8/2021,462.521118,176.158005,174.069733
12/9/2021,459.398376,174.171005,173.552734
12/10/2021,463.7229,172.212006,178.414536
12/13/2021,459.615082,169.567505,174.725937
12/14/2021,456.452881,169.091507,173.324066
12/15/2021,463.584991,173.315002,178.265381
12/16/2021,459.496887,168.871002,171.265991
12/17/2021,454.606476,170.017502,170.152481
12/20/2021,449.772491,167.078995,168.770477
12/21/2021,457.76001,170.417007,171.991791
12/22/2021,462.337006,171.037003,174.626495
12/23/2021,465.213684,171.068497,175.262802
12/27/2021,471.797455,169.669495,179.289459
12/28/2021,471.411896,170.660995,178.255432
12/29/2021,472.014984,169.201004,178.344925
12/30/2021,470.710083,168.644501,177.171738
12/31/2021,469.523773,166.716995,176.545364
1/3/2022,472.24231,170.404495,180.959747
1/4/2022,472.084137,167.522003,178.663086
1/5/2022,463.019104,164.356995,173.910645
1/6/2022,462.584137,163.253998,171.007507
1/7/2022,460.75528,162.554001,171.176544
1/10/2022,460.181976,161.485992,171.196411
1/11/2022,464.373444,165.362,174.069733
1/12/2022,465.628876,165.207001,174.517136
1/13/2022,459.213165,161.214005,171.196411
1/14/2022,459.401001,162.138,172.07135
1/18/2022,451.265167,158.917496,168.820206
1/19/2022,446.579437,156.298996,165.270813
1/20/2022,441.636658,151.667496,163.560715
1/21/2022,432.967072,142.643005,161.472855
1/24/2022,434.805756,144.544006,160.687393
1/25/2022,429.497223,139.985992,158.858017
1/26/2022,428.419708,138.872498,158.768539
1/27/2022,426.304169,139.637497,158.301254
1/28/2022,436.891632,143.977997,169.347153
1/31/2022,444.760468,149.573502,173.771469
2/1/2022,447.765717,151.193497,173.602448
2/2/2022,452.115356,150.612503,174.825348
2/3/2022,441.488403,138.845505,171.902313
2/4/2022,443.564362,157.639496,171.613632
2/7/2022,442.140839,157.935501,170.886917
2/8/2022,445.778717,161.413498,174.042648
2/9/2022,452.303192,161.189499,175.486099
2/10/2022,444.177277,159.003494,171.344833
2/11/2022,435.41864,153.293503,167.880524
2/14/2022,433.995117,155.167007,168.119446
2/15/2022,440.99411,156.510498,172.011826
2/16/2022,441.488403,158.100494,171.772919
2/17/2022,432.057587,154.652496,168.119446
2/18/2022,429.259949,152.601501,166.546555
